141,America First Federal Credit Union Riverdale UT
142,Harleysville National Corp. Harleysville PA
143,BFC Financial Corp Fort Lauderdale FL
144,Amcore Financial Inc. Rockford IL
145,NBT Bancorp Inc. Norwich NY
146,Central Pacific Financial Corp. Honolulu HI
147,Sterling Bancshares Houston TX
148,Banner Corp. Walla Walla WA
149,First Merchants Corp Muncie IN
150,Community Bank System De Witt NY
